City,Rank Type,Value
Amsterdam,Happiness Level,5
Sydney,Happiness Level,10
Vienna,Happiness Level,7
Stockholm,Happiness Level,6
Copenhagen,Happiness Level,2
Helsinki,Happiness Level,1
Fukuoka,Happiness Level,32
Berlin,Happiness Level,15
Barcelona,Happiness Level,26
Vancouver,Happiness Level,8
Melbourne,Happiness Level,11
Beijing,Happiness Level,39
Bangkok,Happiness Level,30
Buenos Aires,Happiness Level,31
Toronto,Happiness Level,9
Madrid,Happiness Level,27
Jakarta,Happiness Level,37
Seoul,Happiness Level,33
Frankfurt,Happiness Level,16
Geneva,Happiness Level,3
Tel Aviv,Happiness Level,13
Istanbul,Happiness Level,38
Cairo,Happiness Level,43
Taipei,Happiness Level,40
Los Angeles,Happiness Level,17
Mumbai,Happiness Level,44
Boston,Happiness Level,18
Dublin,Happiness Level,14
Tokyo,Happiness Level,34
Chicago,Happiness Level,19
Hong Kong,Happiness Level,36
Shanghai,Happiness Level,41
Brussels,Happiness Level,23
San Francisco,Happiness Level,20
Paris,Happiness Level,24
Sao Paulo,Happiness Level,29
Zurich,Happiness Level,4
London,Happiness Level,12
Johannesburg,Happiness Level,42
Milan,Happiness Level,28
"Washington, D.C.",Happiness Level,21
New York,Happiness Level,22
Moscow,Happiness Level,35
Mexico City,Happiness Level,25
